state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
39,Ohio,2020-08-24,2020-05-27,,,,,,,,,433.0,33439.0,42.0,2044.0,885.0,313.0,217.0,
34,New Jersey,2020-08-24,2020-05-27,,,,,,,,,864.0,156628.0,149.0,13143.0,2761.0,768.0,583.0,25552.0
28,Mississippi,2020-08-24,2020-05-27,,,,,,,,,313.0,14044.0,18.0,670.0,547.0,127.0,73.0,9401.0
51,Virginia,2020-08-24,2020-05-27,,,,,,,,,907.0,40249.0,45.0,1281.0,1459.0,390.0,203.0,5367.0
44,Rhode Island,2020-08-24,2020-05-27,,,,,,,,,143.0,14353.0,21.0,655.0,218.0,49.0,35.0,1175.0
53,Washington,2020-08-24,2020-05-27,,,,,,,,,225.0,20406.0,17.0,1095.0,241.0,,53.0,
19,Iowa,2020-08-24,2020-05-27,,,,,,,,,666.0,18369.0,19.0,496.0,393.0,109.0,66.0,10016.0
17,Illinois,2020-08-24,2020-05-27,,,,,,,,,1083.0,114101.0,160.0,5082.0,3826.0,1031.0,592.0,
04,Arizona,2020-08-24,2020-05-27,,,,,,,,,454.0,17318.0,24.0,834.0,911.0,375.0,237.0,4361.0
18,Indiana,2020-08-24,2020-05-27,,,,,,,,,359.0,32437.0,26.0,2030.0,1122.0,400.0,182.0,
36,New York,2020-08-24,2020-05-27,,,,,,,,,1129.0,364965.0,186.0,30201.0,4208.0,1261.0,988.0,64632.0
42,Pennsylvania,2020-08-24,2020-05-27,,,,,,,,,779.0,73557.0,102.0,5265.0,1493.0,,351.0,43038.0
50,Vermont,2020-08-24,2020-06-08,,,,,,,,,12.0,1075.0,0.0,55.0,13.0,,,895.0
15,Hawaii,2020-08-24,2020-06-08,,,,,,,,,1.0,664.0,0.0,17.0,,,,617.0
10,Delaware,2020-08-24,2020-06-08,,,,,,,,,30.0,9972.0,0.0,398.0,113.0,,,5791.0
56,Wyoming,2020-08-24,2020-06-08,,,,,,,,,13.0,960.0,0.0,17.0,7.0,,,773.0
02,Alaska,2020-08-24,2020-06-08,,,,,,,,,19.0,562.0,0.0,10.0,7.0,,0.0,384.0
38,North Dakota,2020-08-24,2020-06-08,,,,,,,,,19.0,2880.0,0.0,72.0,29.0,,,2336.0
33,New Hampshire,2020-08-24,2020-06-08,,,,,,,,,36.0,5079.0,0.0,286.0,86.0,,,3392.0
30,Montana,2020-08-24,2020-06-08,,,,,,,,,3.0,548.0,0.0,18.0,2.0,,,475.0
46,South Dakota,2020-08-24,2020-06-08,,,,,,,,,33.0,5471.0,0.0,65.0,92.0,,,4403.0
49,Utah,2020-08-24,2020-06-08,,,,,,,,,185.0,10422.0,3.0,110.0,182.0,,,7255.0
47,Tennessee,2020-08-24,2020-06-08,,,,,,,,,512.0,26579.0,3.0,417.0,617.0,,,17563.0
20,Kansas,2020-08-24,2020-06-08,,,,,,,,,138.0,10544.0,3.0,236.0,,,,625.0
29,Missouri,2020-08-24,2020-06-08,,,,,,,,,185.0,13790.0,4.0,827.0,611.0,,76.0,
35,New Mexico,2020-08-24,2020-06-08,,,,,,,,,122.0,9062.0,4.0,400.0,177.0,,,3307.0
53,Washington,2020-08-24,2020-06-08,,,,,,,,,312.0,24041.0,4.0,1161.0,213.0,,66.0,
22,Louisiana,2020-08-24,2020-06-08,,,,,,,,,234.0,43050.0,8.0,2944.0,582.0,,71.0,33904.0
37,North Carolina,2020-08-24,2020-06-08,,,,,,,,,892.0,36517.0,9.0,1041.0,739.0,,,23653.0
